run_id,generated_at_utc,as_of_utc,as_of_et,target_date,target_type,scheduled_departure,checkpoint_at,hours_to_departure,cadence_band,is_final_t4,embargo_cutoff,latest_feature_timestamp,model_version,p_b6_cancel,p_b6_severe_delay_operates,p_sq23_disruption,p_pair_success,p_miss_sq23,p_itinerary_disruption,p_reach_sin_within_6h,previous_probability,delta_probability_pp,delta_log_odds,alert_threshold,alert_status,confidence_low,confidence_high,confidence_label,data_quality_flags,source_manifest_ref,actual_outcome,score_brier,supersedes_run_id
8a5924db7a78d62d,2026-08-11T12:00:00Z,2026-07-31T20:30:00Z,2026-07-31T16:30:00-04:00,2026-08-05,B6317,2026-08-05T20:30:00Z,2026-07-31T20:30:00Z,120,6h,false,2026-08-05T17:30:00Z,,0.1.0-prior-only,0.027923,0.043107,0.017986,0.933149,0.038774,0.048133,0.973527,,,,0.200000,no-alert,0.000000,0.127923,low,schedule_unverified;no_eligible_observations;prior_only,data/source_manifest.json,,,
6b383687875fce9d,2026-08-11T12:00:00Z,2026-08-01T02:30:00Z,2026-07-31T22:30:00-04:00,2026-08-05,B6317,2026-08-05T20:30:00Z,2026-08-01T02:30:00Z,114,6h,false,2026-08-05T17:30:00Z,,0.1.0-prior-only,0.028092,0.043321,0.018059,0.933122,0.038789,0.048152,0.973516,0.027923,0.0169,0.006207,0.200000,no-alert,0.000000,0.128092,low,schedule_unverified;no_eligible_observations;prior_only,data/source_manifest.json,,,
aa4f9d2c8ac6f4a6,2026-08-11T12:00:00Z,2026-08-01T08:30:00Z,2026-08-01T04:30:00-04:00,2026-08-05,B6317,2026-08-05T20:30:00Z,2026-08-01T08:30:00Z,108,6h,false,2026-08-05T17:30:00Z,,0.1.0-prior-only,0.028262,0.043536,0.018133,0.933094,0.038805,0.048172,0.973505,0.028092,0.0170,0.006207,0.200000,no-alert,0.000000,0.128262,low,schedule_unverified;no_eligible_observations;prior_only,data/source_manifest.json,,,
b3ccd8a579201e29,2026-08-11T12:00:00Z,2026-08-01T14:30:00Z,2026-08-01T10:30:00-04:00,2026-08-05,B6317,2026-08-05T20:30:00Z,2026-08-01T14:30:00Z,102,6h,false,2026-08-05T17:30:00Z,,0.1.0-prior-only,0.028432,0.043752,0.018207,0.933067,0.038821,0.048192,0.973494,0.028262,0.0171,0.006207,0.200000,no-alert,0.000000,0.128432,low,schedule_unverified;no_eligible_observations;prior_only,data/source_manifest.json,,,
095e127c5018a80e,2026-08-11T12:00:00Z,2026-08-01T20:30:00Z,2026-08-01T16:30:00-04:00,2026-08-05,B6317,2026-08-05T20:30:00Z,2026-08-01T20:30:00Z,96,6h,false,2026-08-05T17:30:00Z,,0.1.0-prior-only,0.028604,0.043969,0.018281,0.933039,0.038837,0.048212,0.973483,0.028432,0.0172,0.006207,0.200000,no-alert,0.000000,0.128604,low,schedule_unverified;no_eligible_observations;prior_only,data/source_manifest.json,,,
00875e7478d24284,2026-08-11T12:00:00Z,2026-08-02T02:30:00Z,2026-08-01T22:30:00-04:00,2026-08-05,B6317,2026-08-05T20:30:00Z,2026-08-02T02:30:00Z,90,6h,false,2026-08-05T17:30:00Z,,0.1.0-prior-only,0.028777,0.044187,0.018355,0.933011,0.038853,0.048232,0.973472,0.028604,0.0173,0.006207,0.200000,no-alert,0.000000,0.128777,low,schedule_unverified;no_eligible_observations;prior_only,data/source_manifest.json,,,
616abc76206cbf99,2026-08-11T12:00:00Z,2026-08-02T08:30:00Z,2026-08-02T04:30:00-04:00,2026-08-05,B6317,2026-08-05T20:30:00Z,2026-08-02T08:30:00Z,84,6h,false,2026-08-05T17:30:00Z,,0.1.0-prior-only,0.028951,0.044406,0.018430,0.932983,0.038870,0.048252,0.973461,0.028777,0.0174,0.006207,0.200000,no-alert,0.000000,0.128951,low,schedule_unverified;no_eligible_observations;prior_only,data/source_manifest.json,,,
1aaa2ab5190cd791,2026-08-11T12:00:00Z,2026-08-02T14:30:00Z,2026-08-02T10:30:00-04:00,2026-08-05,B6317,2026-08-05T20:30:00Z,2026-08-02T14:30:00Z,78,6h,false,2026-08-05T17:30:00Z,,0.1.0-prior-only,0.029126,0.044626,0.018505,0.932955,0.038886,0.048272,0.973450,0.028951,0.0175,0.006207,0.200000,no-alert,0.000000,0.129126,low,schedule_unverified;no_eligible_observations;prior_only,data/source_manifest.json,,,
ad2643e4fe459c5b,2026-08-11T12:00:00Z,2026-08-02T20:30:00Z,2026-08-02T16:30:00-04:00,2026-08-05,B6317,2026-08-05T20:30:00Z,2026-08-02T20:30:00Z,72,6h,false,2026-08-05T17:30:00Z,,0.1.0-prior-only,0.029302,0.044847,0.018580,0.932927,0.038902,0.048293,0.973439,0.029126,0.0176,0.006207,0.200000,no-alert,0.000000,0.129302,low,schedule_unverified;no_eligible_observations;prior_only,data/source_manifest.json,,,
ff4f3f03a964507b,2026-08-11T12:00:00Z,2026-08-03T02:30:00Z,2026-08-02T22:30:00-04:00,2026-08-05,B6317,2026-08-05T20:30:00Z,2026-08-03T02:30:00Z,66,6h,false,2026-08-05T17:30:00Z,,0.1.0-prior-only,0.029479,0.045069,0.018656,0.932898,0.038919,0.048313,0.973428,0.029302,0.0177,0.006207,0.200000,no-alert,0.000000,0.129479,low,schedule_unverified;no_eligible_observations;prior_only,data/source_manifest.json,,,
e15d88a05f42b64b,2026-08-11T12:00:00Z,2026-08-03T08:30:00Z,2026-08-03T04:30:00-04:00,2026-08-05,B6317,2026-08-05T20:30:00Z,2026-08-03T08:30:00Z,60,6h,false,2026-08-05T17:30:00Z,,0.1.0-prior-only,0.029658,0.045292,0.018732,0.932870,0.038936,0.048334,0.973416,0.029479,0.0178,0.006207,0.200000,no-alert,0.000000,0.129658,low,schedule_unverified;no_eligible_observations;prior_only,data/source_manifest.json,,,
8b0725be9fb8778d,2026-08-11T12:00:00Z,2026-08-03T14:30:00Z,2026-08-03T10:30:00-04:00,2026-08-05,B6317,2026-08-05T20:30:00Z,2026-08-03T14:30:00Z,54,6h,false,2026-08-05T17:30:00Z,,0.1.0-prior-only,0.029837,0.045516,0.018808,0.932841,0.038952,0.048355,0.973405,0.029658,0.0179,0.006207,0.200000,no-alert,0.000000,0.129837,low,schedule_unverified;no_eligible_observations;prior_only,data/source_manifest.json,,,
